id,sous_traitant_id,sous_traitant_nom,indicateur,periode,valeur,seuil_alerte,seuil_objectif,statut,tendance
KQI-134,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2023-Q2,0,1,0,OK,Stable
KQI-135,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2023-Q3,0,1,0,OK,Stable
KQI-136,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2023-Q4,2,1,0,ALERTE,Stable
KQI-137,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2024-Q1,0,1,0,OK,Stable
KQI-138,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2024-Q2,0,1,0,OK,Stable
KQI-139,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2024-Q3,0,1,0,OK,Stable
KQI-140,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2024-Q4,0,1,0,OK,Stable
KQI-141,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2025-Q1,0,1,0,OK,Stable
KQI-142,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2025-Q2,0,1,0,OK,Stable
KQI-143,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2025-Q3,0,1,0,OK,Stable
KQI-144,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2023-Q1,0,1,0,OK,Stable
KQI-145,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2023-Q2,1,1,0,ALERTE,Stable
KQI-146,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2023-Q3,0,1,0,OK,Stable
KQI-147,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2023-Q4,0,1,0,OK,Stable
KQI-148,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2024-Q1,0,1,0,OK,Stable
KQI-149,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2024-Q2,0,1,0,OK,Stable
KQI-150,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2024-Q3,0,1,0,OK,Stable
KQI-151,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2024-Q4,0,1,0,OK,Stable
KQI-152,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2025-Q1,0,1,0,OK,Stable
KQI-153,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2025-Q2,0,1,0,OK,Stable
KQI-154,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'audit,2025-Q3,0,1,0,OK,Stable
KQI-155,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2023-Q1,0,1,0,OK,Stable
KQI-156,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2023-Q2,0,1,0,OK,Stable
KQI-157,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2023-Q3,1,1,0,ALERTE,Stable
KQI-158,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2023-Q4,0,1,0,OK,Stable
KQI-159,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2024-Q1,0,1,0,OK,Stable
KQI-160,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2024-Q2,0,1,0,OK,Stable
KQI-161,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2024-Q3,0,1,0,OK,Stable
KQI-162,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2024-Q4,0,1,0,OK,Stable
KQI-163,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2025-Q1,0,1,0,OK,Stable
KQI-164,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2025-Q2,0,1,0,OK,Stable
KQI-165,ST-001,CRO Alpha Clinical Services,Nombre d'événement qualité critique,2025-Q3,0,1,0,OK,Stable
KQI-166,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2023-Q1,0,1,0,OK,Stable
KQI-167,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2023-Q2,0,1,0,OK,Stable
KQI-168,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2023-Q3,0,1,0,OK,Stable
KQI-169,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2023-Q4,0,1,0,OK,Stable
KQI-170,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2024-Q1,0,1,0,OK,Stable
KQI-171,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2024-Q2,0,1,0,OK,Stable
KQI-172,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2024-Q3,0,1,0,OK,Stable
KQI-173,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2024-Q4,0,1,0,OK,Stable
KQI-174,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2025-Q1,0,1,0,OK,Stable
KQI-175,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2025-Q2,0,1,0,OK,Stable
KQI-176,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'inspection,2025-Q3,0,1,0,OK,Stable
KQI-177,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2023-Q1,0,1,0,OK,Stable
KQI-178,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2023-Q2,0,1,0,OK,Stable
KQI-179,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2023-Q3,0,1,0,OK,Stable
KQI-180,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2023-Q4,0,1,0,OK,Stable
KQI-181,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2024-Q1,0,1,0,OK,Stable
KQI-182,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2024-Q2,0,1,0,OK,Stable
KQI-183,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2024-Q3,0,1,0,OK,Stable
KQI-184,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2024-Q4,0,1,0,OK,Stable
KQI-185,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2025-Q1,0,1,0,OK,Stable
KQI-186,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2025-Q2,0,1,0,OK,Stable
KQI-187,ST-002,Beta Bioanalytics Lab,Nombre de findings critiques d'audit,2025-Q3,0,1,0,OK,Stable
KQI-188,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2023-Q1,0,1,0,OK,Stable
KQI-189,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2023-Q2,0,1,0,OK,Stable
KQI-190,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2023-Q3,0,1,0,OK,Stable
KQI-191,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2023-Q4,0,1,0,OK,Stable
KQI-192,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2024-Q1,0,1,0,OK,Stable
KQI-193,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2024-Q2,0,1,0,OK,Stable
KQI-194,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2024-Q3,1,1,0,ALERTE,Stable
KQI-195,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2024-Q4,0,1,0,OK,Stable
KQI-196,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2025-Q1,0,1,0,OK,Stable
KQI-197,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2025-Q2,0,1,0,OK,Stable
KQI-198,ST-002,Beta Bioanalytics Lab,Nombre d'événement qualité critique,2025-Q3,0,1,0,OK,Stable
KQI-199,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2023-Q1,0,1,0,OK,Stable
KQI-200,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2023-Q2,0,1,0,OK,Stable
KQI-201,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2023-Q3,0,1,0,OK,Stable
KQI-202,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2023-Q4,0,1,0,OK,Stable
KQI-203,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2024-Q1,0,1,0,OK,Stable
KQI-204,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2024-Q2,0,1,0,OK,Stable
KQI-205,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2024-Q3,0,1,0,OK,Stable
KQI-206,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2024-Q4,0,1,0,OK,Stable
KQI-207,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2025-Q1,0,1,0,OK,Stable
KQI-208,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2025-Q2,0,1,0,OK,Stable
KQI-209,ST-003,Gamma Data Management,Nombre de findings critiques d'inspection,2025-Q3,0,1,0,OK,Stable
KQI-210,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2023-Q1,0,1,0,OK,Stable
KQI-211,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2023-Q2,0,1,0,OK,Stable
KQI-212,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2023-Q3,0,1,0,OK,Stable
KQI-213,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2023-Q4,0,1,0,OK,Stable
KQI-214,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2024-Q1,0,1,0,OK,Stable
KQI-215,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2024-Q2,0,1,0,OK,Stable
KQI-216,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2024-Q3,0,1,0,OK,Stable
KQI-217,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2024-Q4,0,1,0,OK,Stable
KQI-218,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2025-Q1,0,1,0,OK,Stable
KQI-219,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2025-Q2,0,1,0,OK,Stable
KQI-220,ST-003,Gamma Data Management,Nombre de findings critiques d'audit,2025-Q3,0,1,0,OK,Stable
KQI-221,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2023-Q1,0,1,0,OK,Stable
KQI-222,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2023-Q2,0,1,0,OK,Stable
KQI-223,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2023-Q3,0,1,0,OK,Stable
KQI-224,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2023-Q4,0,1,0,OK,Stable
KQI-225,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2024-Q1,0,1,0,OK,Stable
KQI-226,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2024-Q2,1,1,0,ALERTE,Stable
KQI-227,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2024-Q3,0,1,0,OK,Stable
KQI-228,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2024-Q4,0,1,0,OK,Stable
KQI-229,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2025-Q1,0,1,0,OK,Stable
KQI-230,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2025-Q2,0,1,0,OK,Stable
KQI-231,ST-003,Gamma Data Management,Nombre d'événement qualité critique,2025-Q3,0,1,0,OK,Stable
KQI-232,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2023-Q1,0,1,0,OK,Stable
KQI-233,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2023-Q2,0,1,0,OK,Stable
KQI-234,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2023-Q3,0,1,0,OK,Stable
KQI-235,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2023-Q4,0,1,0,OK,Stable
KQI-236,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2024-Q1,0,1,0,OK,Stable
KQI-237,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2024-Q2,0,1,0,OK,Stable
KQI-238,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2024-Q3,1,1,0,ALERTE,Stable
KQI-239,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2024-Q4,0,1,0,OK,Stable
KQI-240,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2025-Q1,0,1,0,OK,Stable
KQI-241,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2025-Q2,0,1,0,OK,Stable
KQI-242,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'inspection,2025-Q3,0,1,0,OK,Stable
KQI-243,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q1,0,1,0,OK,Stable
KQI-244,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q2,0,1,0,OK,Stable
KQI-245,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q3,0,1,0,OK,Stable
KQI-246,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q4,0,1,0,OK,Stable
KQI-247,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q1,0,1,0,OK,Stable
KQI-248,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q2,1,1,0,ALERTE,Stable
KQI-249,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q3,0,1,0,OK,Stable
KQI-250,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q4,0,1,0,OK,Stable
KQI-251,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2025-Q1,0,1,0,OK,Stable
KQI-252,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2025-Q2,0,1,0,OK,Stable
KQI-253,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2025-Q3,0,1,0,OK,Stable
KQI-254,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q1,0,1,0,OK,Stable
KQI-255,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q2,0,1,0,OK,Stable
KQI-256,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q3,0,1,0,OK,Stable
KQI-257,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q4,0,1,0,OK,Stable
KQI-258,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q1,1,1,0,ALERTE,Stable
KQI-259,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q2,0,1,0,OK,Stable
KQI-260,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q3,0,1,0,OK,Stable
KQI-261,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q4,1,1,0,ALERTE,Stable
KQI-262,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2025-Q1,0,1,0,OK,Stable
KQI-263,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2025-Q2,0,1,0,OK,Stable
KQI-264,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2025-Q3,0,1,0,OK,Stable
